,,,,,,,,,,Latitude,Longitude,Actual Lat,Actual Lon,Precision (metres),,,,Coordinate,Metres
,,,,,"$GPRMC,185652.000,A,3950.9320,N,07531.0759,W,1.47,57.69,070424,,,A*47",39.848867,-75.517932,"39.84886667,-75.51793167",,,,,,,,,,,
,,,,,"$GPGGA,185653.000,3950.9324,N,07531.0753,W,1,08,1.11,116.6,M,-33.8,M,,*5C",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185653.000,A,3950.9324,N,07531.0753,W,1.53,58.02,070424,,,A*4F",39.848873,-75.517922,"39.84887333,-75.51792167",,,,,,,,,,,
,,,,,"$GPGGA,185654.000,3950.9333,N,07531.0749,W,1,08,1.11,116.6,M,-33.8,M,,*56",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185654.000,A,3950.9333,N,07531.0749,W,1.79,48.61,070424,,,A*49",39.848888,-75.517915,"39.84888833,-75.517915",,,,,,,,,,,
,,,,,"$GPGGA,185655.000,3950.9340,N,07531.0745,W,1,08,1.11,116.6,M,-33.8,M,,*5F",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185655.000,A,3950.9340,N,07531.0745,W,1.74,42.95,070424,,,A*4C",39.848900,-75.517908,"39.8489,-75.51790833",,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185654.000,A,3950.9333,N,07531.0749,W,1.79,48.61,070424,,,A*49",39.848888,-75.517915,"39.84888833,-75.517915",,,,,,,,,,,
,,,,,"$GPGGA,185655.000,3950.9340,N,07531.0745,W,1,08,1.11,116.6,M,-33.8,M,,*5F",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPRMC,185655.000,A,3950.9340,N,07531.0745,W,1.74,42.95,070424,,,A*4C",39.848900,-75.517908,"39.8489,-75.51790833",,,,,,,,,,,
,,,,,"$GPGGA,185656.000,3950.9345,N,07531.0744,W,1,08,1.11,116.6,M,-33.8,M,,*58",,,,,,,,,,,,,,
,,,,,"$GPGSA,A,3,03,06,14,11,24,22,17,19,,,,,1.40,1.11,0.86*00",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,1,11,22,67,165,34,19,67,336,26,17,63,053,26,06,61,244,26*72",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,2,11,14,42,155,22,03,34,059,26,51,33,224,,11,23,233,27*70",,,,,,,,,,,,,,
,,,,,"$GPGSV,3,3,11,24,17,287,18,12,03,318,,02,03,055,*46",,,,,,,,,,,,,,
